Team,C,CB,DI,Edge,LB,LG,LT,QB,RB,RG,RT,S,TE,WR,Season
Arizona Cardinals,52.5,58.0,69.27,77.0,74.75,66.8,64.5,64.2,70.5,61.6,69.6,67.9,79.1,73.53,2020
Atlanta Falcons,72.1,60.3,79.53,69.5,69.6,87.7,79.7,75.8,62.95,66.6,53.0,65.35,73.1,77.27,2020
Baltimore Ravens,68.7,71.93,74.53,66.85,78.6,63.8,89.4,90.1,81.25,63.6,73.6,73.35,88.5,63.37,2020
Buffalo Bills,67.3,60.2,61.85,68.5,57.03,55.8,73.1,64.1,80.3,63.1,51.8,75.85,60.2,75.43,2020
Carolina Panthers,63.4,59.7,87.05,74.2,58.37,58.6,79.3,73.0,80.6,63.6,76.2,77.53,51.8,71.2,2020
Chicago Bears,64.9,68.7,71.47,77.35,57.15,69.9,58.6,76.6,63.6,58.8,63.2,63.15,58.0,67.83,2020
Cincinnati Bengals,62.4,62.1,80.85,78.4,72.77,43.7,89.2,95.0,63.55,60.1,57.7,62.25,49.4,82.9,2020
Cleveland Browns,72.0,65.47,71.6,83.45,59.67,74.2,88.7,73.5,82.7,56.7,80.5,68.1,72.3,73.45,2020
Dallas Cowboys,83.5,76.47,71.6,74.0,63.43,61.4,76.6,80.1,80.05,88.1,86.0,73.6,61.4,82.7,2020
Denver Broncos,61.1,74.37,76.47,73.7,76.85,64.5,76.1,57.6,68.65,74.1,72.4,86.55,52.0,80.4,2020
Detroit Lions,74.9,71.27,77.95,81.1,57.73,64.9,75.5,82.6,73.55,78.7,74.4,73.95,60.5,74.77,2020
Green Bay Packers,73.8,69.17,72.87,78.1,45.65,69.1,79.4,83.6,88.05,63.0,59.0,71.15,85.1,75.33,2020
Houston Texans,67.3,67.3,65.53,75.35,67.2,59.1,75.1,82.4,74.05,53.4,59.4,69.6,56.6,71.07,2020
Indianapolis Colts,73.0,62.9,76.25,76.65,72.53,91.2,81.3,74.3,80.3,60.5,79.8,69.5,69.2,80.77,2020
Jacksonville Jaguars,75.3,64.73,74.5,70.7,52.6,65.5,54.8,70.3,64.7,55.3,63.8,66.85,65.7,67.13,2020
Kansas City Chiefs,66.0,64.27,73.7,55.75,59.3,67.4,71.2,90.2,75.35,59.7,89.3,73.45,86.1,74.73,2020
