spread,ou_value,fav_ml_result,fav_sp_result,ou_result,fav_ppg,und_ppg,fav_papg,und_papg,fav_ypg,und_ypg,fav_yapg,und_yapg,fav_topg,und_topg,fav_tofpg,und_tofpg,fav_avg_mov,und_avg_mov,fav_win_pct,und_win_pct,fav_last_5_win_pct,und_last_5_win_pct,fav_home_win_pct,und_home_win_pct,fav_away_win_pct,und_away_win_pct,ppg_diff,ypg_diff,topg_diff,avg_mov_diff,win_pct_diff,last_5_win_pct_diff,team_ovr_diff,ypg_sum,ppg_ratio,ypg_ratio,avg_mov_ratio
-9.5,53.5,1,1.0,1,34.0,20.0,20.0,34.0,369.0,360.0,360.0,369.0,0.0,1.0,1.0,0.0,14.0,-14.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,9.0,-1.0,28.0,1.0,1.0,5.3500000000000085,729.0,1.7,1.02,-1.0
-1.0,49.5,0,0.0,1,25.0,38.0,38.0,25.0,506.0,383.0,383.0,506.0,2.0,0.0,0.0,2.0,-13.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-13.0,123.0,2.0,-26.0,-1.0,-1.0,-1.0,889.0,0.66,1.32,-1.0
-7.0,47.0,1,1.0,0,38.0,6.0,6.0,38.0,381.0,306.0,306.0,381.0,1.0,3.0,3.0,1.0,32.0,-32.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,32.0,75.0,-2.0,64.0,1.0,1.0,4.310000000000002,687.0,6.33,1.25,-1.0
-6.5,39.5,1,1.0,1,27.0,17.0,17.0,27.0,404.0,254.0,254.0,404.0,2.0,2.0,2.0,2.0,10.0,-10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,150.0,0.0,20.0,1.0,1.0,-10.919999999999987,658.0,1.59,1.59,-1.0
-3.0,48.0,1,1.0,1,34.0,30.0,30.0,34.0,372.0,388.0,388.0,372.0,0.0,0.0,0.0,0.0,4.0,-4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,-16.0,0.0,8.0,1.0,1.0,-0.8900000000000006,760.0,1.13,0.96,-1.0
-2.5,42.5,0,0.0,1,23.0,27.0,27.0,23.0,426.0,363.0,363.0,426.0,1.0,0.0,0.0,1.0,-4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-4.0,63.0,1.0,-8.0,-1.0,-1.0,13.550000000000011,789.0,0.85,1.17,-1.0
-7.0,44.0,0,0.0,1,20.0,27.0,27.0,20.0,445.0,241.0,241.0,445.0,2.0,0.0,0.0,2.0,-7.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-7.0,204.0,2.0,-14.0,-1.0,-1.0,17.669999999999987,686.0,0.74,1.85,-1.0
-1.0,44.0,0,0.0,1,34.0,43.0,43.0,34.0,382.0,522.0,522.0,382.0,1.0,0.0,0.0,1.0,-9.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-9.0,-140.0,1.0,-18.0,-1.0,-1.0,4.61999999999999,904.0,0.79,0.73,-1.0
-7.5,41.5,1,1.0,0,21.0,11.0,11.0,21.0,357.0,269.0,269.0,357.0,1.0,3.0,3.0,1.0,10.0,-10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,88.0,-2.0,20.0,1.0,1.0,4.849999999999994,626.0,1.91,1.33,-1.0
-5.5,41.5,0,0.0,1,17.0,27.0,27.0,17.0,265.0,239.0,239.0,265.0,3.0,0.0,0.0,3.0,-10.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-10.0,26.0,3.0,-20.0,-1.0,-1.0,10.51000000000002,504.0,0.63,1.11,-1.0
-2.5,41.5,1,1.0,0,16.0,13.0,13.0,16.0,362.0,295.0,295.0,362.0,0.0,2.0,2.0,0.0,3.0,-3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,67.0,-2.0,6.0,1.0,1.0,-0.8599999999999994,657.0,1.23,1.23,-1.0
-4.0,48.5,1,1.0,1,34.0,23.0,23.0,34.0,271.0,310.0,310.0,271.0,0.0,3.0,3.0,0.0,11.0,-11.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,-39.0,-3.0,22.0,1.0,1.0,5.920000000000002,581.0,1.48,0.87,-1.0
-7.0,48.5,0,0.0,0,20.0,24.0,24.0,20.0,366.0,404.0,404.0,366.0,0.0,1.0,1.0,0.0,-4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-4.0,-38.0,-1.0,-8.0,-1.0,-1.0,17.430000000000007,770.0,0.83,0.91,-1.0
-1.0,52.0,1,1.0,0,20.0,17.0,17.0,20.0,422.0,380.0,380.0,422.0,1.0,0.0,0.0,1.0,3.0,-3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,42.0,1.0,6.0,1.0,1.0,-12.320000000000007,802.0,1.18,1.11,-1.0
-6.0,44.0,1,1.0,0,26.0,16.0,16.0,26.0,349.0,291.0,291.0,349.0,1.0,2.0,2.0,1.0,10.0,-10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,58.0,-1.0,20.0,1.0,1.0,9.189999999999998,640.0,1.62,1.2,-1.0
-3.5,41.5,1,0.0,0,16.0,14.0,14.0,16.0,377.0,323.0,323.0,377.0,0.0,1.0,1.0,0.0,2.0,-2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,54.0,-1.0,4.0,1.0,1.0,-4.610000000000014,700.0,1.14,1.17,-1.0
