Position,Name,Rating,Team,Season
QB,Lamar Jackson,90.1,Baltimore Ravens,2020
DI,Derek Wolfe,68.5,Baltimore Ravens,2020
RB,Mark Ingram II,78.7,Baltimore Ravens,2020
DI,Brandon Williams,64.8,Baltimore Ravens,2020
RB,J.K. Dobbins,83.8,Baltimore Ravens,2020
DI,Calais Campbell,90.3,Baltimore Ravens,2020
TE,Mark Andrews,88.5,Baltimore Ravens,2020
Edge,Matthew Judon,69.2,Baltimore Ravens,2020
WR,Marquise Brown,72.8,Baltimore Ravens,2020
Edge,Pernell McPhee,64.5,Baltimore Ravens,2020
WR,Miles Boykin,58.9,Baltimore Ravens,2020
LB,Patrick Queen,74.4,Baltimore Ravens,2020
WR,Willie Snead IV,58.4,Baltimore Ravens,2020
LB,Malik Harrison,82.8,Baltimore Ravens,2020
LT,Ronnie Stanley,89.4,Baltimore Ravens,2020
CB,Marcus Peters,83.9,Baltimore Ravens,2020
LG,Bradley Bozeman,63.8,Baltimore Ravens,2020
CB,Marlon Humphrey,69.2,Baltimore Ravens,2020
C,Matt Skura,68.7,Baltimore Ravens,2020
CB,Tavon Young,62.7,Baltimore Ravens,2020
RG,Ben Powers,63.6,Baltimore Ravens,2020
S,Chuck Clark,69.8,Baltimore Ravens,2020
RT,Orlando Brown Jr.,73.6,Baltimore Ravens,2020
S,Earl Thomas III,76.9,Baltimore Ravens,2020
QB,Drew Brees,90.6,New Orleans Saints,2020
DI,Sheldon Rankins,65.6,New Orleans Saints,2020
RB,Alvin Kamara,68.9,New Orleans Saints,2020
DI,Malcom Brown,67.9,New Orleans Saints,2020
RB,Latavius Murray,74.2,New Orleans Saints,2020
Edge,Cameron Jordan,86.9,New Orleans Saints,2020
TE,Jared Cook,78.3,New Orleans Saints,2020
Edge,Marcus Davenport,84.1,New Orleans Saints,2020
WR,Michael Thomas,90.4,New Orleans Saints,2020
LB,Demario Davis,90.4,New Orleans Saints,2020
WR,Emmanuel Sanders,77.0,New Orleans Saints,2020
LB,Alex Anzalone,67.7,New Orleans Saints,2020
WR,Tre'Quan Smith,62.6,New Orleans Saints,2020
LB,Zack Baun,89.7,New Orleans Saints,2020
LT,Terron Armstead,80.8,New Orleans Saints,2020
CB,Marshon Lattimore,65.6,New Orleans Saints,2020
