Position,Name,Rating,Team,season
QB,Josh Allen,90.9,Buffalo Bills,2022
DI,Ed Oliver,71.8,Buffalo Bills,2022
RB,Devin Singletary,69.0,Buffalo Bills,2022
DI,DaQuan Jones,66.4,Buffalo Bills,2022
RB,James Cook,85.0,Buffalo Bills,2022
Edge,Von Miller,91.2,Buffalo Bills,2022
WR,Stefon Diggs,81.0,Buffalo Bills,2022
Edge,Greg Rousseau,73.1,Buffalo Bills,2022
WR,Gabriel Davis,81.5,Buffalo Bills,2022
Edge,AJ Epenesa,65.2,Buffalo Bills,2022
WR,Isaiah McKenzie,72.3,Buffalo Bills,2022
LB,Tremaine Edmunds,48.5,Buffalo Bills,2022
TE,Dawson Knox,63.6,Buffalo Bills,2022
LB,Matt Milano,50.4,Buffalo Bills,2022
LT,Dion Dawkins,79.4,Buffalo Bills,2022
CB,Dane Jackson,58.1,Buffalo Bills,2022
LG,Rodger Saffold III,68.1,Buffalo Bills,2022
CB,Kaiir Elam,61.8,Buffalo Bills,2022
C,Mitch Morse,63.4,Buffalo Bills,2022
CB,Taron Johnson,70.3,Buffalo Bills,2022
RG,Ryan Bates,66.3,Buffalo Bills,2022
S,Micah Hyde,83.8,Buffalo Bills,2022
RT,David Quessenberry,79.1,Buffalo Bills,2022
S,Jordan Poyer,77.7,Buffalo Bills,2022
QB,Tom Brady,91.7,Tampa Bay Buccaneers,2022
DI,Vita Vea,74.4,Tampa Bay Buccaneers,2022
RB,Leonard Fournette,75.1,Tampa Bay Buccaneers,2022
DI,Akiem Hicks,72.3,Tampa Bay Buccaneers,2022
RB,Rachaad White,90.8,Tampa Bay Buccaneers,2022
DI,William Gholston,59.2,Tampa Bay Buccaneers,2022
WR,Mike Evans,75.4,Tampa Bay Buccaneers,2022
Edge,Shaquil Barrett,81.0,Tampa Bay Buccaneers,2022
WR,Chris Godwin,81.3,Tampa Bay Buccaneers,2022
Edge,Joe Tryon-Shoyinka,50.9,Tampa Bay Buccaneers,2022
WR,Russell Gage,75.2,Tampa Bay Buccaneers,2022
LB,Lavonte David,72.3,Tampa Bay Buccaneers,2022
TE,Kyle Rudolph,63.5,Tampa Bay Buccaneers,2022
LB,Devin White,35.1,Tampa Bay Buccaneers,2022
LT,Donovan Smith,80.5,Tampa Bay Buccaneers,2022
CB,Carlton Davis,71.6,Tampa Bay Buccaneers,2022
LG,Luke Goedeke,92.2,Tampa Bay Buccaneers,2022
CB,Jamel Dean,71.8,Tampa Bay Buccaneers,2022
C,Robert Hainsey,89.6,Tampa Bay Buccaneers,2022
CB,Sean Murphy-Bunting,56.4,Tampa Bay Buccaneers,2022
RG,Shaq Mason,86.4,Tampa Bay Buccaneers,2022
S,Antoine Winfield Jr.,89.5,Tampa Bay Buccaneers,2022
RT,Tristan Wirfs,84.3,Tampa Bay Buccaneers,2022
S,Mike Edwards,63.9,Tampa Bay Buccaneers,2022
QB,Justin Herbert,90.1,Los Angeles Chargers,2022
DI,Sebastian Joseph-Day,61.5,Los Angeles Chargers,2022
RB,Austin Ekeler,75.3,Los Angeles Chargers,2022
DI,Austin Johnson,58.3,Los Angeles Chargers,2022
WR,Keenan Allen,77.5,Los Angeles Chargers,2022
DI,Morgan Fox,55.7,Los Angeles Chargers,2022
WR,Mike Williams,77.6,Los Angeles Chargers,2022
Edge,Joey Bosa,85.8,Los Angeles Chargers,2022
WR,Joshua Palmer,62.6,Los Angeles Chargers,2022
Edge,Khalil Mack,92.5,Los Angeles Chargers,2022
TE,Gerald Everett,63.5,Los Angeles Chargers,2022
LB,Kyle Van Noy,71.7,Los Angeles Chargers,2022
TE,Donald Parham Jr.,69.2,Los Angeles Chargers,2022
LB,Drue Tranquill,64.6,Los Angeles Chargers,2022
LT,Rashawn Slater,83.6,Los Angeles Chargers,2022
CB,J.C. Jackson,78.9,Los Angeles Chargers,2022
LG,Matt Feiler,74.0,Los Angeles Chargers,2022
CB,Asante Samuel Jr.,56.4,Los Angeles Chargers,2022
C,Corey Linsley,85.7,Los Angeles Chargers,2022
CB,Bryce Callahan,60.0,Los Angeles Chargers,2022
RG,Zion Johnson,84.4,Los Angeles Chargers,2022
S,Derwin James Jr.,78.1,Los Angeles Chargers,2022
RT,Trey Pipkins III,54.8,Los Angeles Chargers,2022
S,Nasir Adderley,66.2,Los Angeles Chargers,2022
QB,Matthew Stafford,86.1,Los Angeles Rams,2022
DI,Aaron Donald,93.5,Los Angeles Rams,2022
RB,Cam Akers,75.7,Los Angeles Rams,2022
DI,Greg Gaines,69.8,Los Angeles Rams,2022
RB,Darrell Henderson Jr.,69.3,Los Angeles Rams,2022
DI,A'Shawn Robinson,77.7,Los Angeles Rams,2022
WR,Cooper Kupp,93.0,Los Angeles Rams,2022
Edge,Leonard Floyd,73.8,Los Angeles Rams,2022
WR,Allen Robinson II,66.9,Los Angeles Rams,2022
Edge,Justin Hollins,64.3,Los Angeles Rams,2022
WR,Van Jefferson,58.5,Los Angeles Rams,2022
LB,Bobby Wagner,71.8,Los Angeles Rams,2022
TE,Tyler Higbee,69.1,Los Angeles Rams,2022
LB,Ernest Jones,61.4,Los Angeles Rams,2022
LT,Joe Noteboom,77.7,Los Angeles Rams,2022
CB,Jalen Ramsey,84.3,Los Angeles Rams,2022
LG,David Edwards,68.4,Los Angeles Rams,2022
CB,Troy Hill,60.1,Los Angeles Rams,2022
C,Brian Allen,74.8,Los Angeles Rams,2022
CB,David Long Jr.,60.8,Los Angeles Rams,2022
RG,Coleman Shelton,59.5,Los Angeles Rams,2022
S,Jordan Fuller,74.3,Los Angeles Rams,2022
RT,Rob Havenstein,83.4,Los Angeles Rams,2022
S,Nick Scott,57.0,Los Angeles Rams,2022
QB,Jalen Hurts,77.1,Philadelphia Eagles,2022
DI,Fletcher Cox,68.7,Philadelphia Eagles,2022
RB,Miles Sanders,70.2,Philadelphia Eagles,2022
DI,Javon Hargrave,67.3,Philadelphia Eagles,2022
RB,Kenneth Gainwell,72.0,Philadelphia Eagles,2022
DI,Jordan Davis,82.6,Philadelphia Eagles,2022
WR,A.J. Brown,86.3,Philadelphia Eagles,2022
Edge,Brandon Graham,62.6,Philadelphia Eagles,2022
WR,DeVonta Smith,77.7,Philadelphia Eagles,2022
Edge,Haason Reddick,67.9,Philadelphia Eagles,2022
WR,Quez Watkins,68.2,Philadelphia Eagles,2022
LB,Kyzir White,66.5,Philadelphia Eagles,2022
TE,Dallas Goedert,90.7,Philadelphia Eagles,2022
LB,T.J. Edwards,75.5,Philadelphia Eagles,2022
LT,Jordan Mailata,88.3,Philadelphia Eagles,2022
CB,Darius Slay,81.0,Philadelphia Eagles,2022
LG,Landon Dickerson,69.6,Philadelphia Eagles,2022
CB,James Bradberry,62.8,Philadelphia Eagles,2022
C,Jason Kelce,84.5,Philadelphia Eagles,2022
CB,Avonte Maddox,71.0,Philadelphia Eagles,2022
RG,Isaac Seumalo,62.4,Philadelphia Eagles,2022
S,Marcus Epps,74.6,Philadelphia Eagles,2022
RT,Lane Johnson,83.3,Philadelphia Eagles,2022
S,Chauncey Gardner-Johnson,62.2,Philadelphia Eagles,2022
QB,Aaron Rodgers,89.4,Green Bay Packers,2022
DI,Kenny Clark,75.4,Green Bay Packers,2022
RB,Aaron Jones,82.0,Green Bay Packers,2022
DI,Devonte Wyatt,90.3,Green Bay Packers,2022
RB,AJ Dillon,86.2,Green Bay Packers,2022
DI,Dean Lowry,66.8,Green Bay Packers,2022
WR,Allen Lazard,64.7,Green Bay Packers,2022
Edge,Rashan Gary,89.8,Green Bay Packers,2022
WR,Romeo Doubs,81.7,Green Bay Packers,2022
Edge,Preston Smith,81.5,Green Bay Packers,2022
WR,Randall Cobb,70.1,Green Bay Packers,2022
LB,De'Vondre Campbell,85.0,Green Bay Packers,2022
